RUTA;FECHA;REFLIV;ORDLIV;TVACCE;CODCLI;@NOMBRE;AD1CLI;VILCLI;PESO;     NOMFOU;CODFOU;CODMOP;CULCOL;CPICLI
6350;28/12/2022;80769738;50;                    ;L0JC95        ;RES. FELIX LLOBET             ; Avda. Isidro Marti, 17               ;ESPLUGUES LLOBREGAT       ;41,824;REFRIGERADOS                  ;B             ;26;5;8950
6350;28/12/2022;80769751;100;07:30 A 16:30       ;L0MD88        ;RESIDENCIA ALLEGRA            ; C/ SARDA,120                         ;SABADELL                  ;43,595;REFRIGERADOS                  ;B             ;26;6;8203
7126;28/12/2022;80769695;10;08:00 A 16:00       ;L0L567        ;L'ANUNCIATA (JUNEDA)          ; P#A. CATALUNYA, 11                   ;JUNEDA                    ;54;CONGELADOS                    ;B             ;PTY;7;25430
7126;28/12/2022;80769696;10;ENTREGA DE 08 A 14 H;L0L587        ;RESIDENCIA BELLPUIG           ; SANT ISIDRE, 10                      ;BELLPUIG                  ;54,8;CONGELADOS                    ;B             ;PTY;8;25250
7126;28/12/2022;80769697;9999;08:00 A 13:30       ;L0MD79        ;C SANITARI SOLSONES           ; PLACA A. GUITART, 1                  ;SOLSONA                   ;64,175;CONGELADOS                    ;B             ;PTY;8;25280
7126;28/12/2022;80769698;10;8:30 A 13:30        ;L0MD64        ;ARAN SALUT                    ; ESPITAU 3                            ;VIELHA                    ;134;CONGELADOS                    ;B             ;PTY;20;25530
7126;28/12/2022;80769702;10;08:00 A 16:00       ;L0JD83        ;CA LA CILETA                  ; MOLLERUSA 16                         ;EL PALAU D'ANGLESOLA      ;137,1;CONGELADOS                    ;B             ;PTY;29;25243
7126;28/12/2022;80769704;10;9:30 A 16:00        ;L0L578        ;VILANOVA FONTANILLES          ; PL.CATALUNYA, 14                     ;VILANOVA DE BELLPUIG      ;42,6;CONGELADOS                    ;B             ;PTY;8;25264
7126;28/12/2022;80769720;10;8:30 A 13:30        ;L0MD64        ;ARAN SALUT                    ; ESPITAU 3                            ;VIELHA                    ;283,096;REFRIGERADOS                  ;B             ;26;30;25530
7126;28/12/2022;80769728;10;07:30 A 16:00       ;L0L572        ;CARMELITAS MISIONERA          ; MESTRE G#ELL, 12                     ;LLEIDA                    ;10;CONGELADOS                    ;B             ;PTY;2;25300
7126;28/12/2022;80769733;10;07:30 A 16:00       ;L0L572        ;CARMELITAS MISIONERA          ; MESTRE G#ELL, 12                     ;LLEIDA                    ;30;REFRIGERADOS                  ;B             ;26;2;25300
7126;28/12/2022;80769742;10;08:00 A 16:00       ;L0L567        ;L'ANUNCIATA (JUNEDA)          ; P#A. CATALUNYA, 11                   ;JUNEDA                    ;304,102;REFRIGERADOS                  ;B             ;26;33;25430
7126;28/12/2022;80769743;10;9:30 A 16:00        ;L0L578        ;VILANOVA FONTANILLES          ; PL.CATALUNYA, 14                     ;VILANOVA DE BELLPUIG      ;21;REFRIGERADOS                  ;B             ;26;2;25264
7126;28/12/2022;80769746;10;ENTREGA DE 08 A 14 H;L0L587        ;RESIDENCIA BELLPUIG           ; SANT ISIDRE, 10                      ;BELLPUIG                  ;341,455;REFRIGERADOS                  ;B             ;26;35;25250
7126;28/12/2022;80769747;10;08:00 A 16:00       ;L0JD83        ;CA LA CILETA                  ; MOLLERUSA 16                         ;EL PALAU D'ANGLESOLA      ;335,905;REFRIGERADOS                  ;B             ;26;30;25243
7126;28/12/2022;80769748;9999;08:00 A 13:30       ;L0MD79        ;C SANITARI SOLSONES           ; PLACA A. GUITART, 1                  ;SOLSONA                   ;13,139;REFRIGERADOS                  ;B             ;26;1;25280
;;;;;;;;;;;;;;
