SSCC;PRODUCTO;DESCRIPCION;F_CADUC;ESTADO;UNIDS_STO;UNIDS_DES;MOTIVO;   ZONA;ALL;DPL;NIV;LOTE;EMBALAJE
'384105000261700010;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20241014;10;72;0;   ;M;110;63;0;'2287                ;PBL
'384105000261700027;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20241014;10;72;0;   ;M;110;63;0;'2287                ;PBL
'384105000261700034;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20241014;10;72;0;   ;M;110;63;0;'2287                ;PBL
'384105000261700041;57910            ;JUDIA VERDE REDONDA TROZOS PF ;20240706;10;22;20;   ;M;110;64;0;'2187                ;PBL
'384105000261700058;57910            ;JUDIA VERDE REDONDA TROZOS PF ;20240706;10;72;0;   ;M;110;64;0;'2187                ;PBL
'384105000261700065;57910            ;JUDIA VERDE REDONDA TROZOS PF ;20240706;10;72;0;   ;M;110;64;0;'2187                ;PBL
'384105000261700072;57931            ;VERDURAS DE SOPA PF CONG*     ;20240909;10;72;0;   ;M;110;68;0;'2252                ;PBL
'384105000261700089;7384             ;CALABAZA DADO CONG*           ;20241004;10;48;21;   ;M;110;24;0;'2277                ;PBL
'384105000261700096;7384             ;CALABAZA DADO CONG*           ;20241011;10;72;0;   ;M;110;24;0;'2284                ;PBL
'384105000261700102;8087             ;CEBOLLA DADO PF CONG          ;20240921;10;64;0;   ;M;110;219;0;'2264                ;PBL
'384105000261700119;8087             ;CEBOLLA DADO PF CONG          ;20240921;10;64;0;   ;M;110;219;0;'2264                ;PBL
'384105000261700126;8087             ;CEBOLLA DADO PF CONG          ;20240921;10;64;0;   ;M;110;219;0;'2264                ;PBL
'384105000261700133;8087             ;CEBOLLA DADO PF CONG          ;20240921;10;64;0;   ;M;110;219;0;'2264                ;PBL
'000000000004736387;8087             ;CEBOLLA DADO PF CONG          ;20240921;10;64;0;   ;M;110;219;0;'2264                ;PBL
'384105000261700140;8087             ;CEBOLLA DADO PF CONG          ;20241010;10;64;0;   ;M;110;219;0;'2283                ;PBL
'384105000261700157;89269            ;TOMATE CHERRY UNIDAD          ;20221221;40;18;0;   ;E;4;27;1;'4203                ;PBL
'384105000261700263;77693            ;BANANA VERDE 5/7 UN/KG        ;20221221;40;1;0;   ;E;5;2;2;'4204                ;PBL
'384105000261703431;33335            ;LECH ICEBERG 550G             ;20221201;10;73;0;   ;E;3;2;0;'2294                ;PBL
'384105000261703509;132265           ;HUEVO FRESCO M/L(53/73)SIN JAU;20221118;10;18;0;   ;E;3;9;0;'425006              ;PBL
'384105000261703516;91771            ;HUEVO FRESCO M (53/63) ESTUCHE;20221115;40;48;0;   ;E;3;10;0;'422080              ;PBL
'384105000261703523;10662            ;ZANAHORIA BABY PF CONG        ;20240927;10;72;0;   ;M;110;1;0;'2270                ;PBL
'384105000261703530;10700            ;ZANAHORIA RODAJA PF CONG      ;20241003;10;64;0;   ;M;110;3;0;'2276                ;PBL
'000000000004738350;10700            ;ZANAHORIA RODAJA PF CONG      ;20241003;10;64;0;   ;M;110;3;0;'2276                ;PBL
'384105000261703547;32383            ;GUISANTE FINO CONG            ;20240705;10;58;6;   ;M;110;16;0;'2186                ;PBL
'384105000261703561;34155            ;MENESTRA COMUN PF CONG*       ;20240613;10;23;23;   ;M;110;31;0;'2164                ;PBL
'384105000261703578;34155            ;MENESTRA COMUN PF CONG*       ;20241014;10;72;0;   ;M;110;31;0;'2287                ;PBL
'384105000261703585;36793            ;PIMIENTO ROJO DADO CONG*      ;20240930;10;72;0;   ;M;110;50;0;'2273                ;PBL
'384105000261703592;36817            ;PIMIENTO VERDE DADO CONG*     ;20241011;10;72;0;   ;M;110;51;0;'2284                ;PBL
'384105000261703615;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20240617;10;28;22;   ;M;110;63;0;'2168                ;PBL
'384105000261703622;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20240617;10;72;0;   ;M;110;63;0;'2168                ;PBL
'384105000261703639;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20240617;10;72;0;   ;M;110;63;0;'2168                ;PBL
'384105000261703646;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20240617;10;72;0;   ;M;110;63;0;'2168                ;PBL
'384105000261700324;37269            ;POTON TIRAS CONG              ;20241004;10;108;0;   ;M;110;257;0;'051022              ;PBL
'384105000261703653;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20240617;10;72;0;   ;M;110;63;0;'2168                ;PBL
'384105000261703660;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20241002;10;72;0;   ;M;110;63;0;'2275                ;PBL
'384105000261703677;57910            ;JUDIA VERDE REDONDA TROZOS PF ;20241020;10;72;0;   ;M;110;64;0;'2293                ;PBL
'384105000261703684;57931            ;VERDURAS DE SOPA PF CONG*     ;20240909;10;72;0;   ;M;110;68;0;'2252                ;PBL
'384105000261703691;7384             ;CALABAZA DADO CONG*           ;20241004;10;72;0;   ;M;110;24;0;'2277                ;PBL
'000000000004738367;7384             ;CALABAZA DADO CONG*           ;20241004;10;72;0;   ;M;110;24;0;'2277                ;PBL
'384105000261703707;7384             ;CALABAZA DADO CONG*           ;20241004;10;72;0;   ;M;110;24;0;'2277                ;PBL
'384105000261703714;7384             ;CALABAZA DADO CONG*           ;20241004;10;72;0;   ;M;110;24;0;'2277                ;PBL
'384105000261703721;7384             ;CALABAZA DADO CONG*           ;20241011;10;72;0;   ;M;110;24;0;'2284                ;PBL
'384105000261703738;8087             ;CEBOLLA DADO PF CONG          ;20241010;10;64;0;   ;M;110;219;0;'2283                ;PBL
'384105000261703745;8087             ;CEBOLLA DADO PF CONG          ;20241010;10;64;0;   ;M;110;219;0;'2283                ;PBL
'384105000261703752;8087             ;CEBOLLA DADO PF CONG          ;20241010;10;64;0;   ;M;110;219;0;'2283                ;PBL
'000000000004738374;8087             ;CEBOLLA DADO PF CONG          ;20241010;10;32;0;   ;M;110;219;0;'2283                ;PBL
