CLIENTE;NOMBRE;REFERENCIA;D_ENTREGA;CAJAS;PREPARADO;RUTA;POBLACION
L0LG39        ;MASIES DE MOLLET RESIDENCIAL  ;80776575;20230130;1;1;6130;MOLLET DEL VALLES
L0G345        ;DOW CHEMICAL (SUR)            ;4514608307 - 7180             ;20230130;1;0;7180;TARRAGONA
L0G346        ;DOW CHEMICAL (NORTE)          ;4514627013 - 7180             ;20230130;1;0;7180;TARRAGONA
L0G346        ;DOW CHEMICAL (NORTE)          ;4514627073 - 7180             ;20230130;1;0;7180;TARRAGONA
L0G348        ;REFERENCE LABORATORY          ;4003371228 - 6150             ;20230130;1;0;6150;L'HOSPITALET DE LLOBREGAT
L0G348        ;REFERENCE LABORATORY          ;4003374312 - 6150             ;20230130;1;0;6150;L'HOSPITALET DE LLOBREGAT
L0G360        ;STORA ENSO                    ;4003373960 - 6140             ;20230130;1;0;6140;CASTELLBISBAL
L0G360        ;STORA ENSO                    ;TELF.270123 - 6140            ;20230130;1;0;6140;CASTELLBISBAL
L0G566        ;LOUIS VUITTON II - B          ;4003372590 - 6130             ;20230130;1;0;6130;BARCELONA
L0G696        ;ROCHE DIAGNOSTICS S.          ;4003374086 - 6130             ;20230130;1;0;6130;SANT CUGAT DEL VALLES
L0GE97        ;CASAL DELS ANGELS             ;TELF.L0GE97270123 - 6150      ;20230130;1;0;6150;L'HOSPITALET DE LLOBREGAT
L0GE97        ;CASAL DELS ANGELS             ;TELF.270123 - 6150            ;20230130;1;0;6150;L'HOSPITALET DE LLOBREGAT
L0H024        ;MASIA MAS TABA                ;TELF.H024260123 - 6110        ;20230130;1;0;6110;CORBERA DEL LLOBREGAT
L0H168        ;LOUIS VUITTON                 ;4003374121 - 6130             ;20230130;1;0;6130;BARBERA DEL VALLES
L0H168        ;LOUIS VUITTON                 ;TELF.270123 - 6130            ;20230130;1;0;6130;BARBERA DEL VALLES
L0JE72        ;BASF ESPANOLA-TARR            ;4003372833 - 7180             ;20230130;1;0;7180;LA CANONJA
L0JF51        ;RESIDENCIA 3 EDAT CAN TARRIDA ;4003368802 - 6130             ;20230130;1;0;6000;TORRELLES DE LLOBREGAT
L0JF65        ;E. ELS COSSETANS              ;TELF.L0JF65270123 - 7180      ;20230130;1;0;7180;CUNIT
L0I099        ;KELLOGGS                      ;TELF.270123 - 7181            ;20230130;1;0;7180;VALLS
